timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1441243825480,0,-291,-6.39404296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825480,0,-132,-2.900390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825536,0,-151,-3.31787109375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825537,0,-273,-5.998535156250001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825537,0,-112,-2.4609375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825546,0,-117,-2.5708007812499998E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825546,0,61,1.34033203125E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825546,0,41,9.008789062499999E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825547,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825547,0,24,5.2734375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825548,0,36,7.91015625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825548,0,60,1.318359375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825604,0,68,1.4941406250000001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825604,0,23,5.0537109375E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825605,0,-280,-6.15234375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825613,0,-291,-6.39404296875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825614,0,-274,-6.0205078124999997E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825614,0,13,2.8564453125E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825614,0,21,4.614257812500001E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825615,0,-296,-6.50390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825615,0,-327,-7.18505859375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825615,0,9,1.9775390625E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825641,0,70,1.5380859375E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825641,0,34,7.4707031250000005E-6,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825641,0,-283,-6.218261718750001E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825642,0,-263,-5.7788085937500005E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825642,0,99,2.1752929687500003E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825643,0,-90,-1.9775390625E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
1441243825643,0,123,2.70263671875E-5,38,53,43,622529,363068,24614,30374,30218,20197,25226,13110,Tag0,unknown
